Name,Price,Discount
Vitron V635 3.1CH Multimedia Speaker System - Black,"KSh 5,450",4%
Martini Martini Fierro 750ml,"KSh 1,899",26%
C Idea 10.1 Inch Android Tablet PC 12 Dual Camera Sim 8GB RAM 512GB Bluetooth Fntastic Gray,"KSh 13,999",33%
"AILYONS ELP3603K 3.1CH Subwoofer Home Theatre Multi Media Bluetooth Speaker System, 1YR WRTY","KSh 4,699",35%
"Vivo Y02t - 6.51'', 4GB RAM + 64GB ROM - (Dual SIM) - 5000mAh - Cosmic Grey (2YRs WRTY)","KSh 9,999",47%
Rashnik Steel Cloth Drying Foldable Stand with Infinity Hooks,"KSh 1,679",1%
Nice One 6PCS 370ML High Quality Porcelain Tea Milk Coffee Ceramic Cups,KSh 599,33%
Velvex Eco-Friendly Kitchen Towel Twin Pack,KSh 230,No discount
Amtec AM-006 Amtec 15000W MULTIMEDIA SYSTEM 2.1CH FM/SD/BT/USB,"KSh 8,335",12%
"AILYONS ELP3701K 3.1CH Multimedia Bluetooth Subwoofers Speaker System, 1YR WRTY.","KSh 4,899",39%
Maybelline Fit Me Powder 350 Caramel,"KSh 1,344",5%
Maybelline SuperStay 30H Active Wear Foundation- 67 Warm Coconut,"KSh 1,584",34%
Eurochef New 3 Burner G-003B  Stainless Steel Table Top Double Burner Gas Cooker BLACK,"KSh 2,200",21%
"AILYONS GS014-4, 2 Burner Glass Top Gas Cooker & Infrared Double Burner (1YR WRTY)","KSh 2,369",28%
Nunix AK-105 - 2 In 1 Blender With Grinding Machine – 350W -  1.5L – Black,"KSh 1,700",21%
Nunix AF-5 Air Fryer Healthier Oil Free Fryer And Fries Maker,"KSh 5,487",1%
"Skyworth F80215MB Front Load 8kg, Automatic Washer - Tim Grey (1YR WRTY)","KSh 42,499",25%
AILYONS E0-2001 20L Electric Rotisserie Oven Electric Oven With Grill Pan (1YR WRTY),"KSh 3,799",41%
"Amtec 50Q6 - 50"" Android Smart TV, Inbuilt Decoder + WI-FI Netflix/YouTube/Bluetooth - Black","KSh 34,789",13%
"Oppo A18,6.6"",128GB+4GB, 8MP, 90Hz, 5000mAh (Dual Sim) Glowing Black (2YRs WRTY)","KSh 15,417",23%
Garnier Protection 6 In 1 Floral Fresh Womens Roll-on - 50ml,KSh 348,1%
Adidas Adilette Aqua Slides Unisex,"KSh 1,999",57%
AILYONS FK-0316 Stainless Steel 1.8L Electric Kettle - 1500W - Yellow (1YR WRTY),KSh 719,52%
Maybelline Fit Me Matte & Poreless Setting Spray,"KSh 1,628",6%
"AILYONS LET3208W 32"" FHD Frameless Digital LED TV Inbuilt Decoder DVB T2/S2 - USB-HDMI-VGA - Black&nbsp;, 1YR WRTY","KSh 10,599",44%
Nunix Nunix Aluminium Pressure Cooker - Explosion Proof - 7  Litres - Silver,"KSh 2,880",No discount
Amtec AM-01 2.1CH Multimedia Speaker BT/USB/SD/FM - Black,"KSh 5,000",26%
RichRipple Sucker Stand Black Portable Power Bank 10000mAh,"KSh 1,099",35%
Power King Extension Cable - 5 Way - White.,KSh 440,8%
Soko Soko Maize Meal - 2Kg,KSh 128,9%
Nunix Z16 Hot & Normal Water Dispenser – Gold,"KSh 5,720",No discount
Superfoam Morning Glory School Mattress- Blue,"KSh 2,000 - KSh 12,526",44%
Mizani Miracle Length Hairline  And Root  Stimulator,"KSh 5,473",8%
Jameson Jameson Irish Whiskey - 750 Ml,"KSh 2,299",22%
Ramtons RF/356- 50*50 4Gas Cooker (1YR WRTY),"KSh 30,200",No discount
USN Hyperbolic Mass French Vanilla  1Kg (2.2 Lbs),"KSh 1,999",No discount
Adidas Vultrun M Men Running Shoes,"KSh 3,474",73%
"Vision Plus VP8832SF- 32-Inches Frameless Smart Android TV, Black, (2YRs WRTY)","KSh 13,199",37%
Qwen Mini Wireless Mouse  & Keyboard Combo -Black,"KSh 1,240",38%
NIVEA Hydro Care Lip Balm - 4.8g,KSh 395,No discount
Amtec AM-011 Home Theatre Sub Woofer AC/DC-MF/BT-USB-Amtec,"KSh 3,000",19%
Ramtons RM/609-cordless Electric Kettle 1.7 Litres- Black & Red (1YR WRTY),"KSh 1,808",14%
Sundabest Set Of 6 Cuisine Drinking Tumbler Glass 310ml  (5229),KSh 460,No discount
Amtec AM-017-2.1 Speaker System 3000WATTS PMPO-BLACK,"KSh 2,780",23%
Fay Fay Kitchen Towels Twin Pack,KSh 364,1%
Garnier Even & Matte Scrub - 100ml,KSh 995,No discount
Sun King Pico Plus Pack Of 2 SolarLight,"KSh 2,394",5%
Bacardi Bacardi Carta De Oro 750ml,"KSh 1,799",26%
Geisha Moringa Oil Soap 225G,KSh 155,No discount
Garnier Mineral Men Invisible Roll-on - 50ml,KSh 350,No discount
Maybelline Lifter Gloss Petal With Hyaluronic Acid,"KSh 1,248",38%
Maybelline SuperStay 30H Active Wear Foundation- 60 CARAMEL,"KSh 1,584",34%
Vitron V402 2.1 Inch Bluetooth Speaker System,"KSh 3,000",25%
Pembe Pembe Maize Meal - 10Kg,KSh 649,4%
RichRipple 6Inch LED Selfie Ring Light & Tripod Stand 2 Phone Holders,KSh 579,42%
Ranee Biryani - 5 Kg,"KSh 1,199",17%
Niceone 6pcs 310ml High Quality Classy Wine Whiskey Water Glass,KSh 699,30%
Royal R904 2.1CH Speaker System 45W - Black,"KSh 3,056",31%
NIVEA Refreshing Face Wash For Women - 150ml,KSh 566,25%
Qwen 128GB Memory Cards High Speed -Blue,"KSh 1,299",35%
Maybelline SuperStay 30H Active Wear Foundation- 64 CHESTNUT,"KSh 1,584",34%
Maybelline Fit Me Matte And Poreless Foundation 30 Ml 356 WARM COCONUT,"KSh 1,790",No discount
Soko Maize Meal - 5Kg,KSh 319,16%
"Amtec AM-731 3.1CH Sub Woofer Bluetooth System-FM,USB,SD-20000W","KSh 7,230",7%
Sundabest 6 Piece decorated Tea/cofee Cups (5830),KSh 330,No discount
Rashnik 4 Tier Stylish Shoes Rack (Rn-7606),KSh 780,No discount
UNCOVER Aloe Invisible Sunscreen,"KSh 2,999",No discount
Qwen Wireless Earbuds Bluetooth Headset With Mirror,KSh 829,31%
"Oppo A38, 6.56"", 4GB RAM + 128GB,50MP, 5000mAh (Dual SIM), Glowing Gold","KSh 20,000",13%
Ramtons RM/591- 3LT Cordless Kettle (1YR WRTY),"KSh 2,600",13%
Rashnik RN-8030 AC Light 20w,KSh 483,No discount
Rashnik Double Electric Coil Hot Plate,"KSh 1,584",No discount
Rashnik 1000ml Blue Stainless Steel Vacuum Flask,KSh 839,1%
"AILYONS TYB-201 Blender & Grinder - 1.5L, 350W. (1YR WRTY)","KSh 1,699",37%
Sundabest 6 Pcs Classy White Tea Mugs (8887),KSh 488,No discount
NIVEA Blackberry Shine Lip Balm For Women - 4.8g (Pack Of 2),KSh 609,23%
Oraimo FreePods 3C ENC Calling Noise Cancellation Long Playtime True Wireless Earbuds,"KSh 3,550",19%
NIVEA Perfect & Radiant Day & Night Essentials Pack For Normal Skin,"KSh 3,610",No discount
NIVEA MEN Cool Kick Body Lotion For Men - 400ml (Pack Of 2),"KSh 1,005",25%
Nunix AK-200 – 2 In 1 Blender With Grinding Machine -1.5L – 350W – White,"KSh 2,240",No discount
Nunix SR5L – 5 Layer Shoe Rack – Pink,KSh 599,1%
Rashnik 4 Tire Shoes Rack (Rn-7605),KSh 900,No discount
Miniso Aromatic Scent Scent Diffuser 23ML ( Tropical Peach ),KSh 309,No discount
JTC J801PRO 2.1CH Subwoofer Speaker System + Mic 120W - (Black),"KSh 8,333",36%
"Ramtons RM/458 - Digital Glass Microwave, 700W - 20L -Black & Silver","KSh 11,800",No discount
Maybelline SuperStay 30H Active Wear Foundation- 75 MOCHA,"KSh 1,584",34%
AILYONS ELP2406K 2.1CH SubWoofer Home Theatrer Multi Media Speaker System (1YR WRTY),"KSh 2,729",32%
"Amtec AM-608 Sub Woofer Sound System-BT/USB/FM-8,000 WATTS-","KSh 5,000",23%
"Vitron V636, 3.1CH Multimedia Bluetooth Speaker System - Black","KSh 6,120",24%
"Maybelline Lifter Gloss Hydrating Lip Gloss With Hyaluronic Acid, Ice","KSh 2,000",No discount
Oraimo Data Cable OCD-M53 2A 1M Black,KSh 95,47%
Mara Fenugreek Powder-100g,KSh 300,No discount
UNCOVER MINI ARGAN HYDRATING MOISTURISER – 30ML,KSh 999,No discount
"Infinix Note 30 Pro 4G, 6.67"", 256GB + 8GB RAM (Dual SIM), 5000mAh, Variable Gold","KSh 39,999",No discount
USN Hyperbolic Mass Straw -1Kg (2.2 Lbs),"KSh 1,999",No discount
Adidas Adilette Aqua Slides Unisex,"KSh 1,999",57%
"Royal 43"" Smart Frameless Full HD LED Television - Black.","KSh 21,196",29%
L'Oreal Glycolic Bright - Serum + Day Cream Routine Kit,"KSh 3,075",25%
LASA Double Sided Nano Removal Tape Gel Grip,KSh 350,47%
Soko Soko Wheat flour - 2Kg,KSh 165,8%
Ecoa Char Plus,"KSh 4,000",27%
